Title,rating,is_action,is_crime,is_music,is_drama,is_family,is_comedy,is_romance,is_fantasy,is_mystery,is_war,is_biography,is_history,is_thriller,is_adventure,is_horror,is_animation,is_sport,is_sci-fi,is_documentary,duration_m,log_box_office,star_score,special_day
Oh Darling Yeh Hai India,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,2.413483874085237,1,0
Veergati,5.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,3.385006382268541,1,0
Barsaat,5.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,166.0,1.9860333380761004,0,0
Dilwale Dulhania Le Jayenge,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0,5.722506701581881,4,0
Ram Shastra,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.85579641847315,2.7886605732407883,1,0
Akele Hum Akele Tum,6.9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.7234141841605517,2,0
Ram Jaane,5.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,3.916148908401969,1,0
Trimurti,4.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.0,3.9127281431769405,2,1
Himmat,4.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0,3.257748362357623,0,0
English Babu Desi Mem,4.6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,3.025228503360186,1,1
Saajan Chale Sasural,5.9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0,4.285715972259078,1,0
Jung,4.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0,3.4739709788396906,2,0
Khiladiyon Ka Khiladi,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0,4.325587331899967,1,0
Krishna,5.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,156.0,3.8685097155654455,0,0
Khamoshi the Musical,7.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.6048298212590444,4,0
Maachis,7.7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.095682393260865,0,0
Rakshak,5.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,164.0,3.5645532365719563,0,0
Judaai,6.1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,167.0,2.5548466155131946,2,0
Ziddi,5.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,4.480861943391075,0,0
Koyla,6.2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,4.271740475718984,2,1
Virasat,7.4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,4.002673365041463,1,0
Border,7.9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,176.0,5.238277694399876,0,0
Yes Boss,6.7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163.0,4.003540244722806,1,0
Deewana Mastana,6.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,140.0,4.182380678794343,1,0
Dil To Pagal Hai,7.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,5.118162216263789,4,0
Bhai,5.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0,3.7106637893757304,1,0
Ishq,6.8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0,4.782151797257936,2,0
Chachi 420,7.4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,4.011308529760789,0,1
Duplicate,5.6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,3.8307402904180456,1,0
Ghulam,7.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0,4.098369964449815,2,0
Satya,8.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,4.168708875720797,0,0
Dulhe Raja,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,4.0524299350246435,1,0
Kareeb,6.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,145.0,3.441757100725189,0,0
Dil Se..,7.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0,3.886853286308875,2,0
Bandhan,4.8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,154.0,1.16849311629994,1,0
Kuch Kuch Hota Hai,7.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,185.0,5.3415435528730875,5,0
Mehndi,3.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,2.50659287153824,1,0
China Gate,6.6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,175.0,4.054739313202122,0,0
Wajood,7.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,3.187824236049491,1,0
Zakhm,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,2.9812616324502987,1,1
Aa Ab Laut Chalen,5.4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,177.0,3.78900370812515,1,1
Daag: The Fire,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,152.0,3.8264318591469544,1,1
Kachche Dhaage,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,144.0,1.5276990697610433,3,0
Lal Baadshah,3.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,3.360436572260471,2,0
Aarzoo,5.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,175.0,3.133713445905058,3,0
International Khiladi,4.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,3.578529424081136,1,1
Sooryavansham,6.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,3.301554978251839,1,0
Haseena Maan Jaayegi,6.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,147.0,4.092632867792666,1,0
Taal,6.6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179.0,4.446258592690269,2,0
Baadshah,6.9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,4.082764379511046,1,0
Sangharsh,6.7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,3.194990690143389,1,0
Hello Brother,4.7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,139.0,3.7583845314837188,2,0
Dil Kya Kare,5.1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,158.0,3.5861630324484204,2,0
Vaastav: The Reality,8.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,145.0,3.823865566107044,1,0
Shool,7.7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0,3.0312904330146924,0,0
Hum Saath-Saath Hain,6.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.0,5.0410683151998965,2,0
