Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Himmat,https://www.imdb.com/title/tt0319500/,Action+Comedy+Drama,1996-01-05,"Two Indian secret agents, Ajay and Abdul, share a brotherly bond. However, when Abdul is killed in the line of duty, the mission is handed over to Ajay, who decides to avenge his friend's death.",4.82,Sunil Sharma,Naseeruddin Shah+Sunny Deol+Tabu,Dilip Shukla,PT2H18M,4.5,24.990949008498585
English Babu Desi Mem,https://www.imdb.com/title/tt0136153/,Comedy+Drama+Musical,1996-01-26,"After his brother dies, wealthy Vikram reluctantly goes back to India and forms a surprise bond with his orphaned nephew and the showgirl raising him.",3.78,Praveen Nischol,Shah Rukh Khan+Sonali Bendre+Rajeshwari,G.M. Ayaz+S. Ali Raza,PT2H50M,4.6,19.598711048158638
Agni Sakshi,https://www.imdb.com/title/tt0115484/,Drama+Musical+Romance,1996-03-15,Newly married Suraj and Shivangi are on honeymoon where they meet Vishwanath - who claims that Shivangi is his wife.,,Partho Ghosh,Jackie Shroff+Nana Patekar+Manisha Koirala,Hriday Lani+Ranbir Pushp,PT2H22M,,
Saajan Chale Sasural,https://www.imdb.com/title/tt0246905/,Comedy+Drama,1996-04-12,A village-based singer attempts to find love and fame in the big city.,13.82,David Dhawan,Govinda+Karisma Kapoor+Tabu,Rumi Jaffery+Kader Khan+Sameer,PT2H14M,5.9,71.65454674220963
Jung,https://www.imdb.com/title/tt0116726/,Action+Crime+Drama,1996-04-19,"Jung tells the story of Arjun (Mithun Chakraborty), an honest and passionate police officer who finds himself clashing with his younger brother Ajay (Ajay Devgan), an equally passionate defense lawyer, over a possibly innocent condemned man named Ram (Aditya Pancholi).",6.03,Rama Rao Tatineni,Mithun Chakraborty+Ajay Devgn+Rambha,Santosh Saroj,PT2H26M,4.5,31.264610481586402
Chaahat,https://www.imdb.com/title/tt0172234/,Drama+Romance,1996-06-06,"Roop and his father come to the city for medical treatment and Reshma falls in love with Roop. Roop loves Pooja, but when Reshma threatens to kill herself, Roop agrees to marry her.",,Mahesh Bhatt,Naseeruddin Shah+Shah Rukh Khan+Pooja Bhatt,Robin Bhatt+Akash Khurana+Javed Siddiqui,PT2H31M,5.5,
Khiladiyon Ka Khiladi,https://www.imdb.com/title/tt0246729/,Action+Crime+Drama,1996-06-14,"When an army man's brother goes missing in U.S., he goes looking for him and ingratiates himself with a lady gangster who is involved in illegal wrestling.",14.39,Umesh Mehra,Akshay Kumar+Rekha+Raveena Tandon,,PT2H42M,6.0,74.60990793201134
Daraar,https://www.imdb.com/title/tt0116024/,Action+Drama+Romance,1996-07-05,"Rich Raj loves Priya. Priya's past marriage was abusive. Servant misplaces her letter explaining past. Misunderstanding resolved after letter found. Ex-husband Vikram tracks Priya, tries killing Raj, jails him, and targets Priya.",,Abbas Alibhai Burmawalla,Rishi Kapoor+Juhi Chawla+Arbaaz Khan,,PT1H45M,5.3,
Krishna,https://www.imdb.com/title/tt0135515/,Action+Drama+Romance,1996-08-02,"A convict freshly out of prison is given an undercover name ""Krishna"" and the task to bring down a drug kingpin and his cartel.",9.04,S. Deepak,Suniel Shetty+Karisma Kapoor+Shakti Kapoor,Tinnu Anand+Santosh Saroj,PT2H36M,5.3,46.87099150141643
Khamoshi the Musical,https://www.imdb.com/title/tt0116763/,Drama+Musical+Romance,1996-08-09,The daughter of deaf-mute parents seeks their understanding when she discovers a love for music.,6.9,Sanjay Leela Bhansali,Manisha Koirala+Nana Patekar+Salman Khan,Sanjay Leela Bhansali+Sutapa Sikdar,PT2H40M,7.5,35.77542492917847
Jeet,https://www.imdb.com/title/tt0116690/,Action+Romance,1996-08-23,"A hitman working for a crime boss falls for a woman but she is married off to her childhood friend. Later, when the woman's and her husband's life comes under threat from the crime boss, the hitman becomes their protector.",,Raj Kanwar,Sunny Deol+Karisma Kapoor+Salman Khan,Amrik Gill+Raj Kanwar,PT3H,5.9,
Maachis,https://www.imdb.com/title/tt0116950/,Action+Crime+Drama,1996-10-25,"A realistic, hard-hitting portrayal of terrorism and youth in the Punjab after the 1984 riots.",4.07,Gulzar,Om Puri+Tabu+Chandrachur Singh,H. Banerjee+Gulzar+Samaresh Majumdar,PT2H40M,7.7,21.102315864022664
Ghatak: Lethal,https://www.imdb.com/title/tt0116407/,Action+Drama,1996-11-15,"Katya, a ruthless mobster, controls a Mumbai town through violence. Kashi, a newcomer, confronts Katya after witnessing his brutality, but faces severe backlash.",,Rajkumar Santoshi,Sunny Deol+Meenakshi Sheshadri+Danny Denzongpa,Vijay Deveshwar+Shyam Gupta+K.K. Raina,PT2H38M,7.5,
Rakshak,https://www.imdb.com/title/tt0135621/,Action+Thriller,1996-11-29,"ASP Raj Sinha is assign with the task of bringing to justice the people who are responsible for printing and circulating fake currency notes. Raj is shocked when he learn that the leader behind this crime is none other than his childhood friend, Raghavan. When Raj confronts Raghavan this angers him and along with the help of his gang he mercilessly murder Raj's mother and his wife, Suman injuring Raj in the process. When Raj recovers from this carnage he plots to destroy Raghavan.",6.62,Ashok Honda,Suniel Shetty+Karisma Kapoor+Sonali Bendre,Naeem-Ejaz,PT2H44M,5.1,34.32366855524079
Khilona,https://www.imdb.com/title/tt0403200/,Drama+Romance,1996-12-13,"Rajkumar, betrayed, becomes a crime lord. Ronny's attacks fail. Rajkumar shoots, Ajay rescues him. They befriend. Rajkumar wants Kajal, Ajay's love interest, as forced bride. Ajay elopes with Kajal, angering Rajkumar who vows vengeance.",,Deepak Pawar,Aditya Pancholi+Shakti Kapoor+Mohan Joshi,,PT2H16M,7.1,
Judaai,https://www.imdb.com/title/tt0119427/,Comedy+Drama+Romance,1997-02-01,"In order to attain wealth and a luxurious life, a greedy wife sells her husband to a rich woman. However she realizes that with a luxurious life, she has to pay a heavy price for this decision.",2.5,Raj Kanwar,Anil Kapoor+Sridevi+Urmila Matondkar,Jainendra Jain+S.V. Krishna Reddy,PT2H47M,6.1,11.869325551232166
Jaan,https://www.imdb.com/title/tt0151090/,Action+Drama+Romance,1997-03-31,A police commissioner hires a young man to be his granddaughter's bodyguard but does not know that the man is in fact a killer hired by his cousin in order to kill his granddaughter and inherit the family estate.,,Raj Kanwar,Ajay Devgn+Twinkle Khanna+Amrish Puri,Kamlesh Pandey+Ranbir Pushp,PT2H50M,4.3,
Ziddi,https://www.imdb.com/title/tt0120551/,Action+Drama,1997-04-11,"It is the story of a hot-tempered and stubborn man Deva, who is feared because of his ruthless ways and severe punishment to the local hoodlums. Later, Deva avenges the death of his brother and sister.",18.39,Guddu Dhanoa,Sunny Deol+Raveena Tandon+Anupam Kher,Robin Henry+Dilip Shukla,PT2H50M,5.9,87.31075875486381
