Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Children of War,https://www.imdb.com/title/tt3369670/,Drama+History+War,2014-05-16,Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.,0.62,Mrityunjay Devvrat,Farooq Shaikh+Victor Banerjee+Pawan Malhotra,,PT2H40M,6.6,0.9606391534391534
Heropanti,https://www.imdb.com/title/tt3142232/,Action+Drama+Romance,2014-05-23,Two young people find love despite the violent landscape in which they live.,52.92,Sabbir Khan,Tiger Shroff+Kriti Sanon+Parthaa Akerkar,Bommarillu Baskar+Sanjeev Dutta,PT2H26M,5.2,81.9952
CityLights,https://www.imdb.com/title/tt3709344/,Drama+Thriller,2014-05-30,"Deepak Singh is a farmer in Rajasthan. After a tragedy, he migrates to Mumbai with his wife and child to lead a better life. However, upon arriving, he soon discovers the challenges of life in a big city.",8.51,Hansal Mehta,Rajkummar Rao+Patralekhaa Paul+Manav Kaul,Sean Ellis+Ritesh Shah,PT2H6M,7.3,13.18554708994709
Filmistaan,https://www.imdb.com/title/tt2417560/,Comedy,2014-06-06,"A Bollywood assistant director is kidnapped by terrorists who mistake him for an American. While held captive in Pakistan, he discovers his captor deals in pirated Hindi films, leading to unexpected cultural connections.",6.28,Nitin Kakkar,Sharib Hashmi+Inaamulhaq+Kumud Mishra,,PT1H57M,7.3,9.730344973544973
Holiday,https://www.imdb.com/title/tt2556308/,Action+Drama+Thriller,2014-06-06,"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",,A.R. Murugadoss,Akshay Kumar+Sonakshi Sinha+Freddy Daruwala,,PT2H40M,7.2,
Miss Lovely,https://www.imdb.com/title/tt1629715/,Crime+Drama+Romance,2014-06-20,"A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",0.49,Ashim Ahluwalia,Nawazuddin Siddiqui+Niharika Singh+Anil George,Ashim Ahluwalia+Uttam Sirur,PT1H53M,7.4,0.7592148148148148
Humshakals,https://www.imdb.com/title/tt3036740/,Comedy+Drama+Romance,2014-06-20,"A comedy centered around three people who each have a lookalike of a lookalike, all with the same name.",63.72,Sajid Khan,Saif Ali Khan+Riteish Deshmukh+Ram Kapoor,,PT2H39M,1.7,98.72891428571428
The Villain,https://www.imdb.com/title/tt3175038/,Action+Crime+Drama,2014-06-27,"When his wife becomes the latest victim of a serial killer, Guru blurs the line between good and evil in his pursuit of revenge.",,Mohit Suri,Sidharth Malhotra+Shraddha Kapoor+Riteish Deshmukh,,PT2H9M,6.6,
Humpty Sharma Ki Dulhania,https://www.imdb.com/title/tt3678938/,Comedy+Drama+Romance,2014-07-11,"A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra, she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",76.81,Shashank Khaitan,Varun Dhawan+Alia Bhatt+Ashutosh Rana,Shashank Khaitan,PT2H13M,6.0,119.01079576719576
Hate Story 2,https://www.imdb.com/title/tt3619772/,Drama+Thriller,2014-07-18,A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead.,27.16,Vishal Pandya,Jay Bhanushali+Surveen Chawla+Sushant Singh,Madhuri Banerjee+Girish Dhamija,PT2H10M,4.4,42.08219259259259
Pizza,https://www.imdb.com/title/tt3794302/,Horror+Mystery+Thriller,2014-07-18,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,4.25,Akshay Akkineni,Akshay Oberoi+Parvathy Omanakuttan+Arunoday Singh,Akshay Akkineni+Abhishek Kumar+Karthik Subbaraj,PT1H47M,6.2,6.585026455026455
Kick,https://www.imdb.com/title/tt2372222/,Action+Drama+Thriller,2014-07-25,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.",231.85,Sajid Nadiadwala,Salman Khan+Jacqueline Fernandez+Nawazuddin Siddiqui,,PT2H26M,6.0,359.23256084656083
It's Entertainment,https://www.imdb.com/title/tt2978626/,Action+Comedy+Drama,2014-08-08,"Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it.",,Sajid,Akshay Kumar+Tamannaah Bhatia+Junior,,PT2H20M,4.6,
Singham Returns,https://www.imdb.com/title/tt2309764/,Action+Crime+Drama,2014-08-15,"Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.",140.62,Rohit Shetty,Ajay Devgn+Kareena Kapoor+Amole Gupte,,PT2H22M,5.7,217.87915767195767
Mardaani,https://www.imdb.com/title/tt3495000/,Action+Crime+Drama,2014-08-22,"Inspector Shivani Shivaji Roy, who works at a Mumbai Crime Branch, sets out to confront the mastermind behind a child-trafficking mafia.",35.82,Pradeep Sarkar,Rani Mukerji+Jisshu Sengupta+Anant Vidhaat,Gopi Puthran,PT1H53M,7.3,55.50015238095238
Raja Natwarlal,https://www.imdb.com/title/tt3483712/,Crime+Thriller,2014-08-29,A small-time con man seeks assistance from his mentor with the intention of settling scores with a gangster.,26.83,Kunal Deshmukh,Emraan Hashmi+Humaima Malik+Paresh Rawal,,PT2H21M,6.2,41.57088465608465
Mary Kom,https://www.imdb.com/title/tt3001638/,Action+Biography+Drama,2014-09-05,"A chronicle of the life of Indian boxer Mary Kom, who went through several hardships before audaciously accomplishing her ultimate dream.",56.5,Omung Kumar,Priyanka Chopra Jonas+Sunil Thapa+Robin Das,,PT2H2M,6.8,87.54211640211639
Creature,https://www.imdb.com/title/tt3619854/,Action+Horror+Sci-Fi,2014-09-12,A newly-opened forest lodge finds itself under attack from a recently awakened creature.,17.7,Vikram Bhatt,Bipasha Basu+Imran Abbas+Mukul Dev,Vikram Bhatt+Sukhmani Sadana+Girish Dhamija,PT2H14M,3.2,27.42469841269841
Daawat-e-Ishq,https://www.imdb.com/title/tt3398052/,Comedy+Drama+Romance,2014-09-19,"A story of Gullu, a Hyderabadi girl frustrated with dowry-seeking men and Taru (a charming Lucknawi cook), who crush old-fashioned world-view.",25.5,Habib Faisal,Aditya Roy Kapoor+Parineeti Chopra+Anupam Kher,Habib Faisal+Jyoti Kapoor,PT1H58M,6.1,39.51015873015873
Khoobsurat,https://www.imdb.com/title/tt3554418/,Comedy+Romance,2014-09-19,A hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her and engaged to someone else.,8.56,Shashanka Ghosh,Sonam Kapoor+Fawad Khan+Ratna Pathak Shah,,PT2H10M,6.4,13.263017989417989
Haider,https://www.imdb.com/title/tt3390572/,Action+Drama+Thriller,2014-10-02,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",56.09,Vishal Bhardwaj,Shahid Kapoor+Tabu+Shraddha Kapoor,,PT2H40M,8.0,86.90685502645503
Bang Bang,https://www.imdb.com/title/tt2905838/,Action+Drama+Thriller,2014-10-02,"A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background.",181.03,Siddharth Anand,Hrithik Roshan+Katrina Kaif+Pawan Malhotra,,PT2H33M,5.7,280.4911386243386
Happy New Year,https://www.imdb.com/title/tt2461132/,Action+Drama+Thriller,2014-10-24,A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,203.0,Farah Khan,Shah Rukh Khan+Deepika Padukone+Abhishek Bachchan,,PT3H,5.0,314.53185185185185
Roar: Tigers of the Sundarbans,https://www.imdb.com/title/tt3796006/,Action+Adventure+Sci-Fi,2014-10-31,"After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.",,Kamal Sadanah,Aadil Chahal+Ahran Chaudhary+Pranay Dixit,,PT2H3M,5.6,
Rang Rasiya,https://www.imdb.com/title/tt1239276/,Biography+Drama+Romance,2014-11-07,A look into the life of 19th century Indian painter Raja Ravi Varma.,,Ketan Mehta,Randeep Hooda+Nandana Sen+Paresh Rawal,,PT2H12M,7.0,
The Shaukeens,https://www.imdb.com/title/tt3848888/,Comedy,2014-11-07,Three friends in their 60s try to do everything that they couldn't do in their younger days - before death arrives.,28.0,Abhishek Sharma,Anupam Kher+Piyush Mishra+Annu Kapoor,,PT2H4M,4.8,43.3837037037037
Kill Dil,https://www.imdb.com/title/tt3380264/,Action+Comedy+Drama,2014-11-14,"Abandoned when young, Bhaiyaji gives shelter to Dev and Tutu. A game of defiance, deception and love follows when free-spirited Disha enters their life.",33.14,Shaad Ali,Ranveer Singh+Ali Zafar+Parineeti Chopra,,PT2H7M,4.5,51.34771216931217
Happy Ending,https://www.imdb.com/title/tt3017412/,Comedy+Romance,2014-11-21,A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,19.44,Krishna D.K.,Saif Ali Khan+Ileana D&apos;Cruz+Kalki Koechlin,,PT2H15M,5.4,30.120685714285717
Zid,https://www.imdb.com/title/tt4228746/,Crime+Romance+Thriller,2014-11-28,"A journalist, who is still in love with his ex-girlfriend, becomes the obsession of his landlord's daughter.",14.08,Vivek Agnihotri,Mannara Chopra+Karanvir Sharma+Shraddha Das,Vivek Agnihotri+Rohit Malhotra,PT2H6M,4.5,21.81580529100529
Ungli,https://www.imdb.com/title/tt2392447/,Crime+Drama+Thriller,2014-11-28,A gang of friends decide to take justice into their own hands.,19.47,Renzil D&apos;Silva,Sanjay Dutt+Emraan Hashmi+Kangana Ranaut,,PT1H54M,5.8,30.167168253968253
Action Jackson,https://www.imdb.com/title/tt0403935/,Action,2014-12-05,"In order to escape crime and clutches of a ruthless mafia, a Bangkok based hit man seeks the help of his lookalike, a Mumbai based goon.",57.78,Prabhu Deva,Shahid Kapoor+Ajay Devgn+Yami Gautam,,PT2H24M,3.4,89.52537142857143
MMS Kand,https://www.imdb.com/title/tt12576274/,Romance,2014-12-12,,,Kanti Shah,Sapna Sappu,,PT1H39M,7.6,
PK,https://www.imdb.com/title/tt2338151/,Action+Drama+Thriller,2014-12-19,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,340.8,Rajkumar Hirani,Aamir Khan+Anushka Sharma+Sanjay Dutt,,PT2H33M,8.1,528.0416507936508
Ugly,https://www.imdb.com/title/tt2882328/,Action+Drama+Thriller,2014-12-26,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,6.23,Anurag Kashyap,Rahul Bhat+Ronit Roy+Tejaswini Kolhapure,,PT2H8M,7.9,9.652874074074074
Alone,https://www.imdb.com/title/tt4271730/,Horror,2015-01-16,A supernatural mystery about a young woman whose dead sister relentlessly haunts her.,19.35,Bhushan Patel,Bipasha Basu+Karan Singh Grover+Sulabha Arya,,PT2H13M,3.7,28.191313432835823
Dolly Ki Doli,https://www.imdb.com/title/tt4332114/,Comedy+Romance,2015-01-23,Dolly is a con woman who marries unsuspecting men and on the wedding night runs away with their money. On the case is a police officer and two disgruntled grooms.,19.26,Abhishek Dogra,Malaika Arora+Karan Ashar+Mohd. Zeeshan Ayyub,,PT1H38M,4.6,28.060191044776122
Baby,https://www.imdb.com/title/tt3848892/,Action+Thriller,2015-01-23,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",95.56,Neeraj Pandey,Akshay Kumar+Danny Denzongpa+Rana Daggubati,,PT2H39M,7.9,139.22283781094526
Rahasya,https://www.imdb.com/title/tt3337550/,Mystery+Thriller,2015-01-30,"A Doctor stands accused of killing his own eighteen-year old daughter. While this aggrieved father protests his innocence, all evidence points towards him irrefutably.",0.97,Manish Gupta,Kay Kay Menon+Ashish Vidyarthi+Tisca Chopra,,PT2H3M,7.5,1.4132079601990049
Khamoshiyan,https://www.imdb.com/title/tt3886444/,Drama+Horror+Romance,2015-01-30,"An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past.",,Karan Darra,Gurmeet Choudhary+Ali Fazal+Sapna Pabbi,Vikram Bhatt,PT2H2M,4.0,
Shamitabh,https://www.imdb.com/title/tt3836958/,Drama,2015-02-06,"An aspiring actor with the inability to speak, joins forces with a man who has a powerful voice. Together they take the film industry by storm, but will their egos get in the way?",22.46,R Balki,Amitabh Bachchan+Dhanush+Akshara Haasan,,PT2H35M,6.7,32.72232039800995
The Lovers,https://www.imdb.com/title/tt1321869/,Action+Drama+Thriller,2015-02-13,"An epic, sweeping and riveting tale of an impossible love set across two time periods and continents.",,Roland Joffé,Josh Hartnett+Bipasha Basu+Tamsin Egerton,,PT1H49M,4.6,
Badlapur,https://www.imdb.com/title/tt3678782/,Action+Drama+Thriller,2015-02-20,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,50.07,Sriram Raghavan,Varun Dhawan+Nawazuddin Siddiqui+Yami Gautam,,PT2H14M,7.4,72.94775522388059
My Big Fat Bride,https://www.imdb.com/title/tt3495030/,Comedy+Drama+Romance,2015-02-27,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,,Sharat Katariya,Bhumi Pednekar+Ayushmann Khurrana+Sheeba Chaddha,Sharat Katariya,PT1H49M,7.5,
NH 10,https://www.imdb.com/title/tt3742284/,Action+Crime+Drama,2015-03-13,"On their way to a weekend retreat, a married couple find their dream vacation turn into a nightmare when they cross paths with a dangerous gang.",,Navdeep Singh,Anushka Sharma+Neil Bhoopalam+Darshan Kumaar,,PT1H55M,7.2,
Hunterrr,https://www.imdb.com/title/tt4333674/,Action+Drama,2015-03-20,"Mandar, an ordinary guy is obsessed with sex and chases girls until he meets Tripti and decides to settle down with her.",13.63,Harshavardhan Kulkarni,Gulshan Devaiah+Radhika Apte+Sai Tamhankar,Harshavardhan Kulkarni+Vijay Maurya,PT2H21M,7.0,19.85775721393035
Barkhaa,https://www.imdb.com/title/tt4556848/,Drama+Romance,2015-03-27,"Follows the relationship between two young minds, which took a unfavorable turn.",0.98,Shadaab Mirza,Sara Loren+Priyanshu Chatterjee+Muntazir Ahmad,Lawrence John+Shadaab Mirza,PT2H7M,5.0,1.4277771144278606
Detective Byomkesh Bakshy!,https://www.imdb.com/title/tt3447364/,Action+Crime+Drama,2015-04-03,Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.,27.05,Dibakar Banerjee,Sushant Singh Rajput+Anand Tiwari+Neeraj Kabi,,PT2H19M,7.6,39.409562189054725
Ek Paheli Leela,https://www.imdb.com/title/tt4500734/,Mystery+Romance+Thriller,2015-04-10,"Two lovers, having been denied true love 300 years ago, are reincarnated in order to correct that wrong.",26.57,Bobby Khan,Sunny Leone+Rahul Dev+Mohit Ahlawat,,PT2H25M,3.8,38.71024278606965
Gabbar Is Back,https://www.imdb.com/title/tt2424988/,Action+Crime+Drama,2015-05-01,"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.",87.55,Radha Krishna Jagarlamudi,Akshay Kumar+Shruti Haasan+Kareena Kapoor,,PT2H8M,7.0,127.55294527363183
Kuch Kuch Locha Hai,https://www.imdb.com/title/tt4272420/,Comedy+Drama,2015-05-08,"Praveen Patel, a 45-year-old married businessman, is approached by Shanaya, an actress, who wants to move in with him to prepare for a role. So he pretends to be single to impress her.",3.26,Devang Dholakia,Ram Kapoor+Sunny Leone+Evelyn Sharma,,PT2H23M,2.6,4.749544278606964
Piku,https://www.imdb.com/title/tt3767372/,Comedy+Drama,2015-05-08,"A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",79.77,Shoojit Sircar,Deepika Padukone+Amitabh Bachchan+Irrfan Khan,,PT2H3M,7.6,116.21814328358208
Bombay Velvet,https://www.imdb.com/title/tt2979920/,Action+Crime+Drama,2015-05-15,An ordinary man goes against all odds and forges his destiny to become a 'Big Shot'.,23.67,Anurag Kashyap,Ranbir Kapoor+Anushka Sharma+Karan Johar,,PT2H29M,5.5,34.48518805970149
Tanu Weds Manu Returns,https://www.imdb.com/title/tt2140465/,Comedy+Drama+Romance,2015-05-22,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,150.8,Aanand L. Rai,Kangana Ranaut+Madhavan+Gunnit Kaur,,PT2H8M,7.6,219.7028457711443
Dil Dhadakne Do,https://www.imdb.com/title/tt4110568/,Comedy+Drama+Romance,2015-06-05,The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,76.88,Zoya Akhtar,Anil Kapoor+Shefali Shah+Priyanka Chopra Jonas,,PT2H50M,7.0,112.00765771144277
Hamari Adhuri Kahani,https://www.imdb.com/title/tt3483612/,Drama+Romance,2015-06-12,"A single mother finds solace with a wealthy, but lonely hotel magnate, together they find love until her past comes back to confront her.",34.43,Mohit Suri,Emraan Hashmi+Vidya Balan+Rajkummar Rao,,PT2H9M,6.7,50.16159800995025
Any Body Can Dance 2,https://www.imdb.com/title/tt3679000/,Biography+Drama+Music,2015-06-19,"Based on the true story of the Fictitious Dance group; their rise to fame, sudden downfall, and their heroic attempt to seek vindication by regaining their lost pride and glory.",,Remo D&apos;Souza,Prabhu Deva+Varun Dhawan+Shraddha Kapoor,,PT2H34M,5.4,
Masaan,https://www.imdb.com/title/tt4635372/,Action,2015-06-24,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",3.65,Neeraj Ghaywan,Richa Chadha+Sanjay Mishra+Vicky Kaushal,,PT1H49M,8.1,5.317741293532338
I Love NY,https://www.imdb.com/title/tt2708644/,Comedy+Romance,2015-07-10,A beautiful musician and a serious Wall Street banker cross paths and fall in love with each other over one magical New Year's Eve.,1.54,Radhika Rao,Sunny Deol+Kangana Ranaut+Prem Chopra,,PT2H7M,3.4,2.243649751243781
Bajrangi Bhaijaan,https://www.imdb.com/title/tt3863552/,Action+Drama+Thriller,2015-07-17,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,320.34,Kabir Khan,Salman Khan+Harshaali Malhotra+Nawazuddin Siddiqui,,PT2H43M,8.1,466.7082865671641
Drishyam,https://www.imdb.com/title/tt4430212/,Action+Drama+Thriller,2015-07-31,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",67.13,Nishikant Kamat,Ajay Devgn+Shriya Saran+Tabu,,PT2H43M,8.2,97.80273233830845
Brothers,https://www.imdb.com/title/tt3802576/,Action+Drama+Sport,2015-08-14,"After living many years together, two brothers discover that they are not blood related so square off in a mixed martial arts tournament to determine whose blood is stronger.",82.47,Karan Malhotra,Akshay Kumar+Sidharth Malhotra+Jackie Shroff,,PT2H36M,6.4,120.15181492537313
Manjhi: The Mountain Man,https://www.imdb.com/title/tt3449292/,Biography+Drama,2015-08-21,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",12.53,Ketan Mehta,Nawazuddin Siddiqui+Radhika Apte+Ashutosh Acharya,,PT2H,8.0,18.255150248756216
All Is Well,https://www.imdb.com/title/tt3547616/,Comedy+Drama+Romance,2015-08-21,A musician finds himself on the run from a group of thugs with his friend and his estranged parents.,15.92,Umesh Shukla,Rishi Kapoor+Abhishek Bachchan+Asin Thottumkal,,PT2H6M,3.6,23.194093532338307
Phantom,https://www.imdb.com/title/tt3469244/,Action+Drama+Thriller,2015-08-28,A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,54.19,Kabir Khan,Saif Ali Khan+Katrina Kaif+Sabyasachi Chakrabarty,,PT2H16M,6.0,78.95024676616914
Welcome Back,https://www.imdb.com/title/tt3159708/,Action+Comedy+Crime,2015-09-04,"A pair of reformed gangsters try to find a husband for their newly discovered sister, but complications arise due to mistaken identities.",96.69,Anees Bazmee,John Abraham+Anil Kapoor+Nana Patekar,Anees Bazmee+Rajeev Kaul+Rajan Agarwal,PT2H32M,4.3,140.86915223880595
Hero,https://www.imdb.com/title/tt4467202/,Action+Drama+Musical,2015-09-11,"A boy and a girl find themselves stuck in a whirlpool of such intense love that they would do anything, go to any extent and face all odds for the one they love.",6.25,Nikkhil Advani,Sooraj Pancholi+Athiya Shetty+Tigmanshu Dhulia,,PT2H25M,3.6,9.105721393034825
The Perfect Girl,https://www.imdb.com/title/tt3729994/,Romance,2015-09-11,"A young boy (Jay) and a girl (Vedika) happen to meet in the tourist town of Goa. They spend some time together and realise that they are perfect for each other. However life has other plans. Many years later, in Mumbai, they cross each other. But the memory of their time together is so distant, it takes a while for Jay to recollect. By the time he remembers, she is lost in the crowd. What happens when two strangers meet for some time and realise they are perfect for each other? What if life has other plans? Would you wait for your destined perfect other, or would you move on?",,Prakash Nambiar,Teeshay+Tara-Alisha Berry+Shalaka Apte,,PT1H37M,6.0,
Katti Batti,https://www.imdb.com/title/tt4467262/,Comedy+Drama+Romance,2015-09-18,A romantic comedy that follows Maddy and Payal's live-in relationship until a sudden turn of events creates a distance between them.,24.41,Nikkhil Advani,Imran Khan+Kangana Ranaut+Abhishek Saha,,PT2H15M,4.7,35.56330547263681
Kis Kisko Pyaar Karoon,https://www.imdb.com/title/tt4302956/,Comedy+Romance,2015-09-25,"A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend.",49.38,Abbas Alibhai Burmawalla,Kapil Sharma+Simran Kaur Mundi+Manjari Fadnnis,,PT2H13M,5.6,71.94248358208955
Bhaag Johnny,https://www.imdb.com/title/tt3619710/,Action+Fantasy+Thriller,2015-09-25,"Blackmailed into murdering, a casanova is presented with the opportunity of living two lives. One in which he commits the crime and the other in which he refuses and goes on the run.",1.83,Shivam Nair,Kunal Kemmu+Zoa Morani+Mandana Karimi,,PT1H58M,5.1,2.666155223880597
Calendar Girls,https://www.imdb.com/title/tt4897908/,Drama,2015-09-25,The story of five aspiring models who are selected to appear in a photoshoot for a prestigious calendar and what happens to them later.,6.31,Madhur Bhandarkar,Akanksha Puri+Avani Modi+Kyra Dutt,,PT2H11M,4.2,9.193136318407959
Singh Is Bliing,https://www.imdb.com/title/tt3696192/,Action+Comedy+Drama,2015-10-02,A lazy youth failing to take up any responsibility is sent to work with his father's friend in Goa where he meets a woman who has problems of her own.,89.95,Prabhu Deva,Akshay Kumar+Amy Jackson+Lara Dutta,,PT2H21M,5.0,131.0495422885572
Guilty,https://www.imdb.com/title/tt4934950/,Action+Drama+Thriller,2015-10-02,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,,Meghna Gulzar,Irrfan Khan+Konkona Sen Sharma+Neeraj Kabi,,PT2H12M,8.1,
Jazbaa,https://www.imdb.com/title/tt4323504/,Drama+Thriller,2015-10-09,"Tensions arise when the daughter of nation's best lawyer is kidnapped. Now she'll have to save a rapist from death sentence, as ransom, within 4 days.",25.23,Sanjay Gupta,Aishwarya Rai Bachchan+Irrfan Khan+Shabana Azmi,,PT1H59M,5.7,36.75797611940298
Pyaar Ka Punchnama 2,https://www.imdb.com/title/tt4430136/,Comedy+Drama+Romance,2015-10-16,"After falling in love, three roommates experience changes in their lives.",64.1,Luv Ranjan,Kartik Aaryan+Omkar Kapoor+Sunny Singh,Luv Ranjan+Rahul Mody+Tarun Jain,PT2H17M,7.2,93.38827860696516
Shaandaar,https://www.imdb.com/title/tt4007558/,Comedy+Drama+Romance,2015-10-22,"In the backdrop of a destination wedding in London, two families try to save their respective empires, unbeknownst to each other.",43.13,Vikas Bahl,Shahid Kapoor+Alia Bhatt+Pankaj Kapur,,PT2H24M,3.7,62.836762189054724
Titli,https://www.imdb.com/title/tt3019620/,Crime+Drama+Thriller,2015-10-30,"Titli, the youngest member of a car-jacking brotherhood wants to escape the family business. He and his wife form a pact to set free from their family roots. But is escape possible?",1.8,Kanu Behl,Shashank Arora+Ranvir Shorey+Shivani Raghuvanshi,,PT1H56M,7.5,2.62244776119403
Prem Ratan Dhan Payo,https://www.imdb.com/title/tt3595298/,Action+Drama+Musical,2015-11-12,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",210.16,Sooraj R. Barjatya,Salman Khan+Sonam Kapoor+Neil Nitin Mukesh,Sooraj R. Barjatya+Aash Karan Atal,PT2H44M,4.4,306.1853452736318
Tamasha,https://www.imdb.com/title/tt3148502/,Action+Drama+Thriller,2015-11-27,"A boy meets a girl, in Corsica. They decide not to reveal their real name or personality.",,Imtiaz Ali,Deepika Padukone+Ranbir Kapoor+Naila Grrewal,Imtiaz Ali,PT2H19M,7.4,
Hate Story 3,https://www.imdb.com/title/tt4865436/,Drama+Thriller,2015-12-04,Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.,51.69,Vishal Pandya,Sharman Joshi+Karan Singh Grover+Zareen Khan,Vikram Bhatt+Anupam Santosh Saroj,PT2H6M,4.6,75.30795820895521
Dilwale,https://www.imdb.com/title/tt4535650/,Action+Drama+Thriller,2015-12-18,"The younger siblings of two estranged lovers fall for each other, unaware of the violent past that drove the elder ones apart.",6.33,Rohit Shetty,Shah Rukh Khan+Kajol+Varun Dhawan,,PT2H38M,5.1,9.222274626865671
Bajirao Mastani,https://www.imdb.com/title/tt3735246/,Action+Drama+Thriller,2015-12-18,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",184.2,Sanjay Leela Bhansali,Ranveer Singh+Deepika Padukone+Priyanka Chopra Jonas,,PT2H38M,7.3,268.36382089552234
School Teacher,https://www.imdb.com/title/tt12982712/,Drama,2016-01-01,"A beautiful teacher is interested in a poor, young man named Shyam who irons clothes for a living. She wants to provide him with a good education, but they are attracted to each other. Her self-absorbed husband becomes jealous.",,Laxman Yaara,Ajay Bafna+Gayatri Singh,Laxman Yaara,,7.9,
Chhota Bheem Himalayan Adventure,https://www.imdb.com/title/tt5212160/,Animation+Action+Adventure,2016-01-08,"When Hidimbak attacks manali Bheem has to stop that strong man,",3.84,Rosauro Adorable,Jigna Bhardwaj+Rupa Bhimani+Sonal Kaushal,Rahul Bunkar+Teja Pratap,PT1H37M,5.8,5.299272384542884
Wazir,https://www.imdb.com/title/tt0315642/,Crime+Drama+Mystery,2016-01-08,A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,41.02,Bejoy Nambiar,Amitabh Bachchan+Farhan Akhtar+Aditi Rao Hydari,Vidhu Vinod Chopra+Abhijat Joshi+Bejoy Nambiar,PT1H43M,7.1,56.60837323279925
Chalk N Duster,https://www.imdb.com/title/tt4600778/,Drama,2016-01-15,"CHALK N DUSTER is an emotional journey of two teachers Vidya ( Shabana Azmi) & Jyoti ( Juhi Chawla) , serving at a Mumbai - based High School. Their passion and love for teaching, bonds them in a special relationship with their students. Their gratification is good grades, moral values they strive to impart to students.However, in an evil turn of events, a wicked lady, Kamini Gupta ( Divya Dutta) gets appointed as the School Principal, who earlier worked in the capacity of a Supervisor. She is extremely cunning by nature and monopolizes on every opportunity she can find her hands on. In a bid to make profits for the school, she decides to fire experienced teachers to replace them with fresher teachers. The saved funds of which she can boastfully present to the school trustees, at the cost of quality education. Vidya suffers a sudden heart attack due to her dismissal from school. The school management threatens the staff to cut ties with Vidya. At such a time, Jyoti stands up for her friend and colleague, Vidya. Together they fight to earn their respect and credibility as teachers and unite against prejudices set by the management.",1.66,Jayant Gilatar,Richa Chadha+Shabana Azmi+Arya Babbar,Shubhendra Pal+Neetu Varma+Ranjeev Verma,PT2H10M,6.5,2.290831291234684
